BiGG	formula	charge
3hlvst	C24H36O6	0.0
3hmbcoa	C26H40N7O18P3S	-4.0
3hmoa	C5H7O4	-1.0
3hmop	C6H9O4	-1.0
3hmp	C4H7O3	-1.0
3hmrsACP	C14H27O2S*	0.0
3hocoa	C29H47N7O18P3S	-3.0
3hoctACP	C19H35N2O9PS*	-1.0
3hoctaACP	C29H55N2O9PS*	-1.0
3hodcoa	C39H70N7O18P3S	0.0
3hoxpac	C8H7O3	-1.0
3hpalmACP	C27H51N2O9PS*	-1.0
3hpcoa	C24H36N7O18P3S	-4.0
3hph5mb	C38H55O4	-1.0
3hphaccoa	C29H38N7O18P3S	-4.0
3hpp	C3H5O3	-1.0
3hppnl	C3H6O2	0.0
3hpppn	C9H9O3	-1.0
3hpvs	C23H35NaO8	0.0
3hpvscoa	C44H71N7NaO23P3S	0.0
3hpvstet	C19H27NaO6	0.0
3hpvstetcoa	C40H63N7NaO21P3S	0.0
3hsmv	C25H38O6	0.0
3hsmvacid	C25H40O7	0.0
3htdcoa	C35H58N7O18P3S	-4.0
3htmelys	C9H21N2O3	1.0
3hxkynam	C9H12N2O2	0.0
3ig3p	C11H12NO6P	-2.0
3ivcoa	C26H40N7O18P3S	-4.0
3ivcrn	C12H23NO5	0.0
3m4hpga	C9H10O4	0.0
3mb	C5H9O2	-1.0
3mb2coa	C26H38N7O17P3S	-4.0
3mbald	C5H10O	0.0
3mbzalc	C8H10O	0.0
3mbzald	C8H8O	0.0
3mcat	C7H8O2	0.0
3mgcoa	C27H42N7O19P3S	0.0
3mglutac	C6H8O4	0.0
3mglutr	C6H10O4	0.0
3mhis	C7H11N3O2	0.0
3mlda	C6H8N2O2	0.0
3mldz	C6H8N2O	0.0
3mob	C5H7O3	-1.0
3mop	C6H9O3	-1.0
3mox4hoxm	C9H9O5	-1.0
3mox4hpac	C9H10O3	0.0
3moxtyr	C9H13NO2	0.0
3mtp	C4H8OS	0.0
3ntym	C8H10N2O3	0.0
3ocddcoa	C39H62N7O18P3S	-4.0
3ocddec5eACP	C396H621O144N96P1S3	-1.0
3ocmrs7eACP	C25H43N2O9PS*	-1.0
3ocpalm9eACP	C400H629O144N96P1S3	-1.0
3octdec2crn	C25H45NO5	0.0
3octdeccrn	C25H49NO5	0.0
3octdece1coa	C39H64N7O18P3S	-4.0
3octdece1crn	C25H47NO5	0.0
3octdectecoa	C39H58N7O17P3S	-4.0
3octpencoa	C39H56N7O17P3S	-4.0
3odcoa	C31H48N7O18P3S	-4.0
3oddcoa	C33H52N7O18P3S	-4.0
3oddecACP	C23H41N2O9PS*	-1.0
3ohcoa	C27H40N7O18P3S	-4.0
