reaction	lb	ub
R_AI2tpp	0	1000
R_AICART	-1000	1000
R_AIRC2	0	1000
R_AIRC3	-1000	1000
R_AKGDH	0	1000
R_AKGt2rpp	-1000	1000
R_AKGtex	-1000	1000
R_ALAALAD	0	1000
R_ALAALAabcpp	0	1000
R_ALAALAr	-1000	1000
R_ALAALAtex	-1000	1000
R_ALAGLUE	-1000	1000
R_ALAR	-1000	1000
R_ALATA_D2	0	1000
R_ALATA_L	-1000	1000
R_ALATA_L2	0	1000
R_ALAabcpp	0	1000
R_ALAt2pp	0	1000
R_ALAt4pp	0	1000
R_ALAtex	-1000	1000
R_ALAtpp	0	1000
R_ALCD19	-1000	1000
R_ALCD2x	-1000	1000
R_ALDD19xr	-1000	1000
R_ALDD2y	0	1000
R_ALDD3y	0	1000
R_ALDD4	0	1000
R_ALKP	0	1000
R_ALLK	0	1000
R_ALLPI	-1000	1000
R_ALLTAMH2	0	1000
R_ALLTN	0	1000
R_ALLTNt2rpp	-1000	1000
R_ALLTNtex	-1000	1000
R_ALLULPE	-1000	1000
R_ALLabcpp	0	1000
R_ALLtex	-1000	1000
R_ALPATE160pp	0	1000
R_ALPATG160pp	0	1000
R_ALR2	0	1000
R_ALR2x	0	1000
R_ALR4x	0	1000
R_ALTRH	0	1000
R_AM3PA	0	1000
R_AM4PA	0	1000
R_AM4PCP	0	1000
R_AMALT1	0	1000
R_AMALT2	0	1000
R_AMALT3	0	1000
R_AMALT4	0	1000
R_AMANAPEr	-1000	1000
R_AMANK	0	1000
R_AMAOTr	-1000	1000
R_AMMQLT8	0	1000
R_AMPMS2	0	1000
R_AMPN	0	1000
R_AMPNTAT	0	1000
R_AMPTASECG	0	1000
R_AMPTASEPG	0	1000
R_AMPtex	-1000	1000
R_ANHGMtex	-1000	1000
R_ANHMK	0	1000
R_ANPRT	0	1000
R_ANS	0	1000
R_AOBUTDs	0	1000
R_AOXSr2	0	1000
R_AP4AH	0	1000
R_AP4AS	0	1000
R_AP5AH	0	1000
R_APCS	0	1000
R_APG3PAT120	0	1000
R_APG3PAT140	0	1000
R_APG3PAT141	0	1000
R_APG3PAT160	0	1000
R_APG3PAT161	0	1000
